VendorID,passenger_count,trip_distance,PULocationID,DOLocationID,payment_type,fare_amount,tip_amount,day_night,payment_type_1,payment_type_2,payment_type_3,payment_type_4,tip_rate_20
1,1,1.1,238,236,1,7.5,1.85,1,1,0,0,0,1
1,1,1.7,237,239,1,11.0,2.55,1,1,0,0,0,1
2,1,2.39,249,162,1,18.0,4.95,1,1,0,0,0,1
2,5,0.66,236,236,1,4.5,1.26,1,1,0,0,0,1
2,3,1.18,68,158,2,6.5,0.0,1,0,1,0,0,0
1,1,0.5,90,234,1,4.5,1.0,1,1,0,0,0,1
2,1,1.32,141,236,1,8.5,1.7,1,1,0,0,0,0
2,2,2.62,161,211,2,11.5,0.0,1,0,1,0,0,0
1,1,0.2,48,163,2,3.5,0.0,1,0,1,0,0,0
1,1,2.0,211,186,2,12.5,0.0,1,0,1,0,0,0
2,2,0.93,234,224,1,8.0,1.0,1,1,0,0,0,0
2,2,0.96,186,230,1,8.0,2.45,1,1,0,0,0,1
2,1,1.2,137,113,1,7.5,1.86,1,1,0,0,0,1
2,1,7.5,138,262,1,25.0,6.51,1,1,0,0,0,1
2,2,3.39,48,231,1,20.0,4.36,1,1,0,0,0,1
2,1,0.62,164,230,1,4.5,1.0,1,1,0,0,0,1
2,6,2.22,141,239,1,15.0,3.36,1,1,0,0,0,1
1,1,1.0,237,236,1,6.5,2.0,1,1,0,0,0,1
1,1,2.3,238,152,1,12.5,0.0,1,1,0,0,0,0
2,1,0.36,211,125,1,5.0,1.0,1,1,0,0,0,1
2,1,0.89,236,75,2,4.5,0.0,1,0,1,0,0,0
2,2,0.34,141,262,1,3.5,0.5,1,1,0,0,0,0
2,1,0.7,170,137,1,5.5,1.46,1,1,0,0,0,1
1,1,1.3,238,236,2,7.5,0.0,1,0,1,0,0,0
2,1,1.82,170,43,1,14.0,3.16,1,1,0,0,0,1
1,1,1.9,264,264,1,12.0,2.75,1,1,0,0,0,1
1,1,1.0,236,237,1,7.5,2.0,1,1,0,0,0,1
1,1,3.3,264,264,1,21.0,4.0,1,1,0,0,0,0
2,2,4.17,236,113,1,24.0,5.16,0,1,0,0,0,1
1,3,0.7,262,236,1,7.0,1.75,0,1,0,0,0,1
1,1,1.8,261,148,1,10.0,2.95,0,1,0,0,0,1
1,1,3.8,142,41,2,15.5,0.0,0,0,1,0,0,0
2,1,0.66,170,233,1,6.5,1.66,0,1,0,0,0,1
2,1,0.9,161,48,1,9.5,2.82,0,1,0,0,0,1
1,1,0.6,236,140,2,6.5,0.0,0,0,1,0,0,0
2,1,1.33,158,90,2,8.0,0.0,0,0,1,0,0,0
1,1,0.6,233,161,1,9.5,2.25,0,1,0,0,0,1
1,1,0.8,249,68,1,5.5,1.45,0,1,0,0,0,1
1,1,2.7,162,90,1,18.0,2.22,0,1,0,0,0,0
2,2,2.15,142,233,1,12.5,1.0,0,1,0,0,0,0
2,1,0.73,125,249,1,5.0,1.36,0,1,0,0,0,1
2,5,0.84,142,230,2,6.5,0.0,0,0,1,0,0,0
1,1,0.8,230,161,1,6.5,2.05,0,1,0,0,0,1
2,5,1.24,141,141,1,6.5,2.08,0,1,0,0,0,1
1,1,2.7,142,234,2,19.5,0.0,0,0,1,0,0,0
2,5,1.34,237,236,1,7.0,1.76,0,1,0,0,0,1
2,2,0.77,162,170,1,5.0,1.7,0,1,0,0,0,1
1,1,10.0,138,237,1,34.0,8.3,0,1,0,0,0,1
1,1,1.2,163,186,2,9.0,0.0,0,0,1,0,0,0
2,1,1.62,234,161,1,9.5,2.82,0,1,0,0,0,1
1,1,1.0,170,100,2,9.5,0.0,0,0,1,0,0,0
1,1,3.9,90,7,1,21.0,4.45,0,1,0,0,0,1
1,1,2.2,161,263,1,12.0,4.0,0,1,0,0,0,1
2,2,0.94,234,162,1,7.0,1.76,0,1,0,0,0,1
1,1,0.9,41,42,1,5.0,0.2,0,1,0,0,0,0
1,1,1.6,238,262,2,8.5,0.0,0,0,1,0,0,0
2,1,2.25,161,236,1,11.0,2.56,0,1,0,0,0,1
1,1,0.8,151,238,1,5.5,1.45,0,1,0,0,0,1
2,1,2.21,186,114,1,13.0,2.96,0,1,0,0,0,1
2,1,2.26,143,162,1,11.5,3.0,0,1,0,0,0,1
2,5,2.43,170,262,1,11.0,3.2,0,1,0,0,0,1
1,1,4.3,230,87,1,21.0,2.0,0,1,0,0,0,0
1,1,0.7,236,236,1,5.0,1.35,0,1,0,0,0,1
2,1,1.68,68,170,2,11.0,0.0,0,0,1,0,0,0
2,5,0.47,161,161,2,4.0,0.0,0,0,1,0,0,0
2,2,10.06,138,249,1,35.0,8.51,0,1,0,0,0,1
2,1,3.92,107,143,1,23.5,5.06,0,1,0,0,0,1
2,1,1.71,239,239,1,9.0,2.16,0,1,0,0,0,1
1,1,0.7,141,237,1,8.0,2.45,0,1,0,0,0,1
2,5,5.66,113,181,1,26.0,3.5,0,1,0,0,0,0
2,1,1.46,113,211,1,9.0,2.16,0,1,0,0,0,1
2,2,0.85,143,50,1,6.5,1.7,0,1,0,0,0,1
1,2,2.7,45,158,2,12.5,0.0,0,0,1,0,0,0
1,1,1.2,141,140,1,6.5,1.0,0,1,0,0,0,0
2,1,5.52,186,179,1,23.5,3.0,0,1,0,0,0,0
2,2,1.61,161,50,1,10.5,2.36,0,1,0,0,0,1
1,2,1.4,236,237,1,7.5,1.75,0,1,0,0,0,1
2,1,0.95,162,48,1,6.0,1.82,0,1,0,0,0,1
2,6,1.38,43,263,1,7.0,1.66,0,1,0,0,0,1
1,1,2.5,163,234,1,14.5,1.0,0,1,0,0,0,0
2,2,3.89,43,41,2,16.0,0.0,0,0,1,0,0,0
2,5,17.58,132,50,1,52.0,11.71,0,1,0,0,0,1
2,4,2.93,229,144,1,12.5,1.0,0,1,0,0,0,0
2,5,2.33,164,141,1,10.5,2.36,0,1,0,0,0,1
1,1,1.2,237,140,2,8.0,0.0,0,0,1,0,0,0
2,1,1.02,234,100,2,8.0,0.0,0,0,1,0,0,0
2,1,1.34,140,236,1,6.0,0.88,0,1,0,0,0,0
2,6,2.22,100,113,2,11.0,0.0,0,0,1,0,0,0
2,2,1.7,236,162,2,9.5,0.0,0,0,1,0,0,0
1,1,2.4,68,231,1,11.5,2.0,0,1,0,0,0,0
1,1,5.2,48,152,1,17.0,3.66,0,1,0,0,0,1
2,1,0.87,107,162,1,5.0,1.89,0,1,0,0,0,1
2,2,1.18,151,239,1,6.5,1.0,0,1,0,0,0,0
2,1,1.89,161,236,1,8.5,2.45,0,1,0,0,0,1
2,1,1.45,231,13,1,8.5,1.96,0,1,0,0,0,1
2,1,1.27,43,143,1,8.0,2.32,0,1,0,0,0,1
1,3,1.9,114,186,1,10.0,1.0,0,1,0,0,0,0
2,1,2.53,161,79,1,11.0,2.46,0,1,0,0,0,1
2,1,2.1,161,236,1,9.5,2.0,0,1,0,0,0,1
2,5,0.98,79,137,1,5.5,1.36,0,1,0,0,0,1
2,1,1.67,236,238,1,7.5,1.76,0,1,0,0,0,1
1,2,3.5,141,113,2,16.0,0.0,0,0,1,0,0,0
2,1,1.56,249,79,1,8.0,1.86,0,1,0,0,0,1
1,1,0.9,90,107,2,5.5,0.0,0,0,1,0,0,0
2,2,0.94,48,161,2,5.5,0.0,0,0,1,0,0,0
2,5,3.75,161,231,1,15.5,3.36,0,1,0,0,0,1
2,1,2.04,161,263,1,8.5,1.5,0,1,0,0,0,0
2,2,0.77,161,233,1,7.5,1.0,0,1,0,0,0,0
2,1,11.87,79,7,1,39.0,4.0,0,1,0,0,0,0
1,1,1.1,170,163,1,7.5,1.0,0,1,0,0,0,0
1,3,4.6,158,236,1,20.5,4.35,0,1,0,0,0,1
2,2,1.49,114,13,1,8.0,1.0,0,1,0,0,0,0
2,1,1.46,161,236,2,8.0,0.0,0,0,1,0,0,0
2,1,3.58,13,90,1,13.0,2.86,0,1,0,0,0,1
1,1,1.5,79,234,1,8.5,1.95,0,1,0,0,0,1
2,1,2.33,163,234,1,10.0,2.26,0,1,0,0,0,1
2,1,6.4,170,261,1,22.5,4.0,0,1,0,0,0,0
2,1,6.98,164,260,1,27.0,5.66,0,1,0,0,0,1
2,1,0.57,48,48,1,5.0,0.0,0,1,0,0,0,0
2,1,0.71,48,48,2,5.5,0.0,0,0,1,0,0,0
1,1,0.5,230,230,2,3.5,0.0,0,0,1,0,0,0
2,1,0.77,158,234,1,5.5,1.0,0,1,0,0,0,0
2,1,1.53,68,211,2,9.5,0.0,0,0,1,0,0,0
2,1,6.2,88,161,2,23.0,0.0,0,0,1,0,0,0
1,1,2.7,50,107,1,12.0,2.65,0,1,0,0,0,1
1,1,6.6,13,162,2,21.5,0.0,0,0,1,0,0,0
1,1,0.9,90,113,1,5.5,1.0,0,1,0,0,0,0
1,3,3.3,88,25,2,12.0,0.0,0,0,1,0,0,0
2,1,8.75,232,239,1,27.5,5.76,0,1,0,0,0,1
2,2,1.45,236,74,2,6.0,0.0,0,0,1,0,0,0
2,1,8.74,237,40,1,26.0,5.46,0,1,0,0,0,1
1,2,2.2,186,143,1,10.0,2.0,0,1,0,0,0,1
1,1,3.5,48,263,2,15.5,0.0,0,0,1,0,0,0
2,3,1.68,164,114,1,9.0,2.06,0,1,0,0,0,1
2,2,0.87,161,142,2,6.0,0.0,0,0,1,0,0,0
1,1,0.7,229,237,2,4.5,0.0,0,0,1,0,0,0
1,2,1.1,230,142,1,6.5,1.5,0,1,0,0,0,1
1,1,2.4,79,87,1,11.5,2.55,0,1,0,0,0,1
1,1,2.2,74,237,1,8.5,1.95,0,1,0,0,0,1
1,2,4.8,264,264,2,19.0,0.0,0,0,1,0,0,0
2,1,9.71,138,90,1,29.0,7.21,0,1,0,0,0,1
2,1,1.0,163,143,1,8.0,2.32,0,1,0,0,0,1
2,1,1.31,163,237,1,6.5,1.56,0,1,0,0,0,1
1,1,0.7,263,263,2,4.0,0.0,0,0,1,0,0,0
2,1,5.67,239,79,2,21.5,0.0,0,0,1,0,0,0
1,1,12.3,138,209,2,34.0,0.0,0,0,1,0,0,0
1,3,3.6,137,239,1,14.5,3.16,0,1,0,0,0,1
2,6,0.83,230,170,1,6.0,1.46,0,1,0,0,0,1
2,1,2.47,161,107,1,11.0,2.46,0,1,0,0,0,1
1,1,2.5,230,114,1,11.0,3.05,0,1,0,0,0,1
2,6,5.18,148,36,2,18.5,0.0,0,0,1,0,0,0
1,1,4.9,239,114,1,18.0,3.85,0,1,0,0,0,1
2,2,1.19,234,249,2,6.0,0.0,0,0,1,0,0,0
1,2,3.6,113,140,2,13.0,0.0,0,0,1,0,0,0
2,1,2.27,48,43,1,9.5,2.16,0,1,0,0,0,1
1,1,1.5,68,68,1,7.5,1.2,0,1,0,0,0,0
1,1,4.2,143,146,4,16.5,0.0,0,0,0,0,1,0
1,1,3.7,114,142,1,14.5,1.5,0,1,0,0,0,0
2,1,3.31,161,211,1,15.0,3.26,0,1,0,0,0,1
2,1,1.91,230,239,1,9.5,1.0,0,1,0,0,0,0
2,1,6.55,162,255,1,22.0,4.66,0,1,0,0,0,1
1,2,0.8,125,144,1,5.5,1.35,0,1,0,0,0,1
2,1,1.23,48,48,1,6.0,1.46,0,1,0,0,0,1
